Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
402.318206 19.69 37.03 13.70 28.17 19.85 36.69 13.82 27.46 1.39 2.75 0.33 1.06 1.52 2.73 0.45 1.23 
407.056728 19.75 37.16 13.75 28.30 19.92 36.82 13.89 27.59 1.40 2.76 0.33 1.06 1.53 2.73 0.46 1.24 
197.814790 13.82 27.16 8.88 19.51 14.12 25.80 9.08 18.88 1.24 2.37 0.22 0.73 1.32 2.54 0.29 0.92 
463.728550 18.28 33.18 9.20 21.91 17.76 32.60 9.49 21.54 1.52 2.98 0.54 1.16 1.67 3.10 0.63 1.31 
1400.713646 14.94 28.05 18.01 28.87 14.41 27.18 14.71 27.02 1.14 2.33 0.46 2.15 1.25 2.50 0.77 2.04 
233.033230 22.17 42.00 12.03 30.16 21.76 41.44 12.56 30.30 1.98 3.79 0.26 0.68 2.09 3.83 0.35 0.73 
198.373456 13.82 27.16 8.88 19.51 14.23 26.81 9.59 19.33 1.24 2.37 0.22 0.73 1.31 2.50 0.31 0.95 
198.415463 13.82 27.16 8.88 19.51 14.43 26.60 9.24 19.75 1.24 2.37 0.22 0.73 1.33 2.49 0.25 0.88 
197.646008 13.82 27.16 8.88 19.51 14.04 25.62 8.98 18.64 1.24 2.37 0.22 0.73 1.34 2.54 0.30 0.92 
194.378772 13.82 26.35 8.88 20.56 14.04 25.31 8.98 19.69 1.24 2.41 0.22 0.72 1.34 2.58 0.30 0.92 
180.639423 13.82 28.14 8.88 20.32 14.04 25.28 8.98 19.49 1.24 2.33 0.22 0.69 1.34 2.57 0.30 0.88 
186.992658 13.82 28.16 8.88 20.42 14.04 27.10 8.98 19.57 1.24 2.35 0.22 0.70 1.34 2.55 0.30 0.90 
76.962449 8.51 13.63 -3.32 -0.14 6.83 11.94 -2.89 -0.30 1.32 2.35 0.17 0.39 1.37 2.58 0.26 0.45 
76.476270 8.49 13.56 -3.32 -0.21 6.81 11.92 -2.90 -0.37 1.32 2.35 0.17 0.39 1.37 2.58 0.26 0.44 
29.661113 0.43 1.26 -7.52 -9.59 -0.26 -2.28 -7.12 -9.45 0.90 1.56 -0.16 -0.11 0.99 1.75 -0.07 -0.00 
84.225745 -5.08 -10.55 -16.05 -24.08 -6.55 -14.07 -15.44 -23.11 0.90 1.48 -0.07 -0.04 0.93 1.71 0.04 0.15 
52.141503 -4.90 -7.51 -8.75 -14.40 -4.72 -11.38 -8.59 -14.64 0.51 0.89 -0.23 -0.24 0.54 1.18 -0.17 -0.06 
64.888550 -1.33 -3.65 -12.86 -18.59 -2.06 -5.51 -12.24 -18.19 1.28 2.43 -0.18 -0.12 1.19 2.11 -0.10 -0.04 
30.375519 0.45 1.32 -7.48 -9.51 -0.60 -2.78 -7.32 -10.21 0.90 1.56 -0.17 -0.11 0.99 1.76 -0.08 -0.00 
18.812081 2.07 5.95 -2.73 -1.79 2.03 1.45 -2.45 -1.89 0.89 1.65 -0.33 -0.20 0.98 1.86 -0.19 0.04 
19.220260 2.08 5.98 -2.70 -1.73 1.73 0.95 -2.82 -2.25 0.89 1.65 -0.33 -0.20 0.98 1.85 -0.20 0.07 
22.523583 2.56 8.20 -0.85 2.23 2.80 2.93 -0.57 1.97 0.90 1.62 -0.47 -0.28 0.97 2.02 -0.30 0.09 
18.868358 2.07 5.95 -2.72 -1.78 1.98 1.39 -2.50 -1.99 0.89 1.65 -0.33 -0.20 0.98 1.83 -0.19 0.04 
22.910454 2.59 6.79 -0.50 1.36 2.87 2.87 -0.23 1.07 0.91 1.66 -0.51 -0.28 0.97 2.03 -0.35 0.11 
19.608900 3.64 9.41 0.03 3.34 3.85 5.65 0.40 3.39 0.97 1.76 -0.49 -0.26 1.04 2.04 -0.33 0.16 
11.622110 -0.20 2.35 1.85 2.52 -0.85 -3.68 0.71 1.21 0.65 1.24 -0.58 0.02 0.77 1.56 0.05 0.11 
15.222695 -1.54 0.23 -0.42 -0.55 -2.05 -6.30 -0.85 -1.86 0.65 1.28 -0.61 -0.09 0.75 1.58 -0.35 0.07 
11.313562 -0.13 2.46 1.89 2.61 -0.78 -3.55 0.77 1.29 0.65 1.25 -0.58 0.01 0.77 1.57 0.05 0.11 
16.206768 5.99 13.98 6.19 12.50 5.51 8.01 5.70 10.64 0.93 1.75 -0.45 0.14 0.99 2.03 -0.16 0.31 
9.462083 1.86 5.94 1.66 3.92 1.62 0.13 1.40 2.44 0.79 1.52 -0.59 -0.12 0.88 1.82 -0.47 0.05 
12.189359 -0.38 1.58 0.94 0.86 -0.79 -4.04 0.68 -0.29 0.63 1.31 -0.65 -0.04 0.81 1.62 -0.52 0.03 
