Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
79.529710 22.04 43.19 15.07 32.66 22.03 41.32 15.27 32.47 1.09 2.12 -0.12 0.21 1.37 2.34 0.08 0.50 
80.699015 22.10 43.29 15.13 32.76 22.10 41.46 15.34 32.58 1.10 2.13 -0.12 0.22 1.37 2.35 0.08 0.50 
142.299142 15.61 29.50 9.72 22.46 16.05 29.52 10.23 22.76 1.26 2.46 0.16 0.57 1.33 2.48 0.23 0.78 
205.912445 26.19 47.50 15.26 34.24 25.18 47.42 15.49 34.23 1.36 2.64 0.16 0.61 1.73 2.88 0.35 0.83 
527.259083 23.89 45.26 25.88 44.21 23.44 44.15 22.85 42.92 0.99 1.97 -0.03 1.17 1.29 2.32 0.50 1.39 
145.365501 30.09 57.00 18.40 43.11 29.26 56.72 18.86 43.63 1.72 2.97 -0.06 0.17 1.95 3.41 0.14 0.39 
80.703081 22.04 43.19 15.07 32.66 22.33 42.71 15.89 32.33 1.09 2.12 -0.12 0.21 1.27 2.51 0.10 0.52 
80.041753 22.04 43.19 15.07 32.66 22.16 41.67 15.26 32.87 1.09 2.12 -0.12 0.21 1.39 2.30 0.05 0.41 
79.186452 22.04 43.19 15.07 32.66 21.94 41.16 15.22 32.23 1.09 2.12 -0.12 0.21 1.36 2.35 0.09 0.50 
77.345247 22.04 41.99 15.07 33.64 21.94 41.03 15.22 33.23 1.09 2.11 -0.12 0.19 1.36 2.33 0.09 0.48 
76.375821 22.04 43.77 15.07 33.33 21.94 41.26 15.22 32.93 1.09 2.02 -0.12 0.19 1.36 2.36 0.09 0.47 
78.418754 22.04 44.21 15.07 33.46 21.94 42.23 15.22 33.06 1.09 2.13 -0.12 0.19 1.36 2.41 0.09 0.47 
19.136909 16.90 29.67 4.28 14.50 15.13 27.97 4.59 14.39 1.10 1.75 -0.22 -0.17 1.38 2.29 -0.01 -0.03 
117.816325 12.02 24.03 4.43 12.65 11.57 21.56 4.36 11.98 0.38 0.90 -0.60 -0.69 0.77 1.06 -0.40 -0.50 
6.602671 12.95 23.25 2.60 9.60 12.18 22.04 2.79 9.42 0.80 1.48 -0.19 -0.09 1.21 2.03 0.01 0.10 
17.614732 15.85 24.21 -0.59 6.77 13.20 27.36 -0.43 6.39 1.35 1.52 -0.07 -0.05 1.36 3.41 0.11 0.08 
6.396694 12.88 23.12 2.54 9.49 11.77 21.28 2.26 8.54 0.80 1.48 -0.18 -0.09 1.21 1.95 0.00 0.10 
80.656902 5.00 6.26 -7.20 -8.20 3.65 5.20 -7.04 -8.38 1.15 1.75 0.15 0.37 1.38 2.39 0.24 0.43 
6.344608 12.84 23.08 2.54 9.49 11.74 21.22 2.25 8.53 0.80 1.47 -0.19 -0.09 1.21 1.94 -0.00 0.10 
20.482252 10.72 19.48 2.61 7.93 9.19 18.63 1.78 6.13 0.19 1.14 -0.48 -0.31 0.48 1.23 -0.32 -0.23 
6.245199 12.87 23.15 2.59 9.57 11.56 20.78 2.25 8.25 0.80 1.47 -0.19 -0.09 1.21 2.01 0.02 0.10 
18.952739 15.98 30.62 8.10 18.74 15.38 28.10 7.56 17.07 0.65 1.51 -0.17 0.08 0.96 1.63 0.04 0.26 
6.226036 12.89 23.20 2.63 9.63 11.52 20.72 2.25 8.19 0.80 1.47 -0.19 -0.09 1.22 2.01 0.02 0.11 
12.705661 15.28 29.13 6.75 16.71 14.41 27.62 6.22 14.98 0.68 1.51 -0.18 0.01 1.15 1.79 0.03 0.21 
6.994580 10.79 21.08 3.39 9.72 10.02 18.51 3.08 8.37 0.58 1.23 -0.14 0.06 0.85 1.49 0.06 0.24 
32.546171 20.81 37.23 7.36 21.50 17.67 32.68 6.46 19.20 1.10 2.01 -0.24 -0.19 1.44 2.33 -0.03 -0.01 
10.615121 14.96 28.19 6.16 15.56 13.98 25.94 5.64 13.87 0.70 1.52 -0.18 -0.01 1.15 1.78 0.03 0.19 
4.480225 11.64 22.37 3.24 10.11 10.81 19.55 2.80 8.59 0.73 1.32 -0.21 -0.08 1.11 1.84 0.00 0.13 
23.812267 5.83 10.79 -1.98 -0.61 5.47 9.11 -2.32 -1.90 0.75 1.41 -0.07 0.17 0.90 1.78 0.10 0.35 
4.393801 10.23 19.78 2.80 8.51 9.48 17.24 2.15 6.66 0.51 1.12 -0.26 -0.15 0.76 1.44 -0.06 0.05 
34.740720 11.01 21.49 3.46 10.10 10.45 18.98 2.98 8.45 0.41 0.99 -0.43 -0.40 0.71 1.18 -0.21 -0.21 
1.867377 9.96 19.59 3.48 9.12 8.98 16.33 2.81 7.26 0.45 1.01 -0.25 -0.09 0.77 1.24 -0.05 0.10 
6.567088 13.19 26.03 6.35 15.21 12.11 22.19 5.41 12.88 0.55 1.22 -0.22 -0.02 0.84 1.45 -0.02 0.17 
2.252093 10.71 21.48 4.97 11.78 9.79 17.99 4.30 9.92 0.48 1.02 -0.24 -0.05 0.82 1.31 -0.04 0.14 
2.546434 8.98 16.63 1.92 5.51 7.49 14.28 1.05 3.32 0.27 1.00 -0.20 -0.02 0.66 0.97 -0.02 0.13 
2.808487 10.72 21.29 5.09 11.61 9.64 17.71 4.33 9.61 0.41 0.99 -0.23 -0.01 0.78 1.19 -0.03 0.17 
1.867434 9.95 19.57 3.47 9.11 8.96 16.30 2.81 7.26 0.45 1.01 -0.25 -0.09 0.77 1.24 -0.05 0.10 
5.199620 7.47 14.75 1.52 4.93 6.56 11.59 0.89 3.19 0.51 1.01 -0.16 0.04 0.79 1.34 0.02 0.24 
1.854396 9.97 19.60 3.49 9.14 8.91 16.16 2.79 7.16 0.45 1.01 -0.25 -0.09 0.77 1.26 -0.04 0.10 
5.771501 10.08 20.01 4.08 9.99 8.95 16.30 3.38 7.98 0.34 0.90 -0.33 -0.18 0.72 1.05 -0.12 -0.00 
3.678545 10.67 20.51 3.42 9.42 9.72 17.71 2.71 7.39 0.51 1.12 -0.26 -0.13 0.79 1.41 -0.05 0.07 
2.706584 11.14 22.27 5.11 12.19 9.98 18.23 4.29 10.01 0.44 1.05 -0.23 -0.04 0.79 1.22 -0.04 0.15 
1.852716 9.98 19.62 3.50 9.16 8.91 16.15 2.79 7.15 0.45 1.01 -0.25 -0.09 0.77 1.26 -0.04 0.10 
3.882933 11.88 22.39 3.57 10.28 11.20 20.21 3.08 8.55 0.62 1.30 -0.20 -0.06 1.02 1.63 0.01 0.13 
1.487801 9.61 18.66 3.08 8.17 8.43 15.40 2.32 6.08 0.40 1.04 -0.24 -0.07 0.74 1.18 -0.04 0.11 
2.225654 10.59 20.25 3.56 9.31 9.34 17.33 2.74 7.15 0.39 1.10 -0.26 -0.09 0.72 1.13 -0.06 0.08 
6.925927 6.45 12.89 1.32 3.83 5.31 9.37 0.54 1.83 0.37 0.85 -0.16 0.07 0.74 1.16 0.02 0.24 
1.696857 10.01 19.65 3.97 9.54 8.76 16.15 3.16 7.37 0.37 0.97 -0.23 -0.03 0.74 1.13 -0.03 0.15 
1.398457 9.79 19.20 3.47 8.85 8.61 15.81 2.71 6.76 0.40 0.99 -0.24 -0.06 0.75 1.19 -0.04 0.12 
1.812972 10.05 19.72 3.54 9.20 8.87 16.34 2.77 7.08 0.40 1.00 -0.25 -0.09 0.74 1.18 -0.05 0.09 
1.604897 10.06 19.79 3.80 9.49 8.86 16.27 3.01 7.35 0.41 1.00 -0.23 -0.04 0.76 1.20 -0.03 0.14 
1.440181 9.89 19.64 4.08 9.73 8.65 15.95 3.28 7.59 0.32 0.91 -0.27 -0.08 0.72 1.06 -0.07 0.09 
2.268281 10.86 20.78 3.65 9.68 9.75 18.09 2.99 7.72 0.47 1.16 -0.22 -0.06 0.77 1.30 -0.02 0.12 
1.313043 8.91 17.67 3.11 7.83 7.74 14.14 2.35 5.76 0.37 0.90 -0.23 -0.03 0.74 1.16 -0.03 0.15 
1.316568 8.91 17.67 3.11 7.83 7.74 14.15 2.35 5.76 0.37 0.91 -0.23 -0.03 0.74 1.16 -0.03 0.15 
1.249516 8.98 17.79 3.18 7.93 7.80 14.28 2.40 5.85 0.36 0.91 -0.23 -0.04 0.74 1.14 -0.03 0.14 
1.253919 8.98 17.80 3.18 7.94 7.79 14.25 2.39 5.83 0.36 0.91 -0.23 -0.04 0.74 1.14 -0.03 0.14 
1.153799 8.59 17.03 2.92 7.30 7.38 13.49 2.10 5.18 0.35 0.87 -0.23 -0.04 0.73 1.11 -0.04 0.13 
1.376946 8.46 16.64 2.60 6.72 7.27 13.30 1.82 4.65 0.35 0.88 -0.23 -0.04 0.72 1.13 -0.03 0.14 
1.147195 8.55 16.96 2.78 7.14 7.37 13.42 1.99 5.04 0.36 0.88 -0.24 -0.06 0.73 1.13 -0.04 0.12 
0.996918 8.47 16.96 3.03 7.48 7.33 13.29 2.23 5.39 0.36 0.85 -0.24 -0.05 0.74 1.13 -0.04 0.13 
0.990487 8.22 16.60 2.99 7.33 7.08 12.83 2.17 5.22 0.35 0.84 -0.25 -0.07 0.73 1.10 -0.06 0.11 
1.017755 8.22 16.52 2.87 7.16 7.09 12.84 2.05 5.06 0.37 0.84 -0.24 -0.06 0.74 1.13 -0.05 0.12 
0.784328 8.06 16.48 3.35 7.76 6.88 12.47 2.46 5.57 0.33 0.81 -0.25 -0.06 0.73 1.06 -0.06 0.12 
0.864506 7.65 15.72 3.14 7.23 6.46 11.61 2.21 5.00 0.31 0.77 -0.26 -0.07 0.73 1.03 -0.07 0.11 
0.784835 8.09 16.54 3.36 7.80 6.92 12.53 2.47 5.61 0.33 0.81 -0.25 -0.06 0.73 1.06 -0.07 0.11 
0.912186 8.81 17.95 3.93 9.04 7.62 13.87 3.03 6.80 0.34 0.85 -0.27 -0.08 0.74 1.08 -0.08 0.10 
0.779261 8.01 16.40 3.33 7.73 6.84 12.37 2.44 5.54 0.33 0.81 -0.25 -0.06 0.74 1.07 -0.06 0.12 
0.864463 7.48 15.50 3.40 7.52 6.33 11.43 2.47 5.34 0.32 0.76 -0.24 -0.03 0.74 1.06 -0.06 0.14 
0.778910 8.01 16.39 3.32 7.71 6.85 12.40 2.44 5.55 0.33 0.81 -0.25 -0.06 0.73 1.07 -0.06 0.12 
0.832731 7.78 16.02 3.24 7.48 6.59 11.94 2.31 5.27 0.31 0.78 -0.26 -0.07 0.73 1.03 -0.07 0.11 
0.844335 8.00 16.39 3.20 7.59 6.87 12.39 2.35 5.46 0.35 0.82 -0.26 -0.07 0.74 1.09 -0.07 0.11 
0.755975 8.32 17.08 3.75 8.52 7.17 13.01 2.88 6.38 0.34 0.82 -0.25 -0.04 0.74 1.08 -0.06 0.13 
0.886815 8.37 17.16 3.74 8.51 7.22 13.11 2.86 6.36 0.34 0.83 -0.24 -0.03 0.75 1.08 -0.05 0.14 
