Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
105.470262 27.08 51.96 19.24 41.17 26.85 50.76 19.98 41.35 1.20 2.18 -0.23 0.05 1.40 2.47 0.02 0.39 
106.334627 27.14 52.05 19.30 41.25 26.92 50.91 20.04 41.44 1.20 2.19 -0.23 0.05 1.40 2.47 0.02 0.40 
165.168486 20.29 39.36 13.60 30.26 20.62 38.27 14.65 30.87 1.52 2.80 0.12 0.55 1.49 2.89 0.24 0.86 
201.178140 31.25 56.24 19.54 42.98 29.90 57.73 20.36 43.36 1.45 2.78 0.04 0.45 1.73 3.59 0.27 0.62 
800.610934 29.06 55.75 30.20 54.34 28.88 54.65 28.46 53.21 1.14 2.28 -0.15 1.45 1.45 2.55 0.59 1.70 
180.932084 33.82 63.98 22.21 50.48 33.17 64.34 23.30 51.27 1.71 3.24 -0.16 -0.00 2.01 3.57 0.07 0.17 
105.449682 27.08 51.96 19.24 41.17 26.87 50.93 20.11 41.06 1.20 2.18 -0.23 0.05 1.28 2.68 -0.04 0.34 
111.123523 27.08 51.96 19.24 41.17 27.98 52.97 21.12 43.33 1.20 2.18 -0.23 0.05 1.40 2.48 0.01 0.43 
106.092239 27.08 51.96 19.24 41.17 26.96 51.38 20.14 41.36 1.20 2.18 -0.23 0.05 1.35 2.72 -0.02 0.42 
105.582137 27.08 51.10 19.24 42.11 26.87 50.91 20.11 42.04 1.20 2.24 -0.23 0.02 1.28 2.65 -0.04 0.32 
104.095147 27.08 51.68 19.24 40.85 26.87 51.26 20.11 40.76 1.20 2.17 -0.23 0.04 1.28 2.69 -0.04 0.33 
104.672251 27.08 51.80 19.24 40.99 26.87 50.69 20.11 40.89 1.20 2.18 -0.23 0.04 1.28 2.62 -0.04 0.34 
40.442600 20.57 36.79 7.77 21.03 19.69 35.85 8.89 21.90 1.28 2.07 -0.24 -0.22 1.34 2.12 -0.06 0.03 
71.425500 19.26 32.79 6.52 17.84 17.40 31.35 7.50 18.38 0.95 1.67 -0.43 -0.49 1.13 1.79 -0.24 -0.25 
31.447319 20.72 34.75 7.18 19.34 18.75 33.57 8.26 20.09 1.18 1.98 -0.22 -0.17 1.32 2.04 -0.04 0.06 
36.780017 22.61 36.61 5.91 18.62 19.56 34.69 7.02 19.55 1.47 2.36 -0.16 -0.10 1.32 2.06 0.01 0.08 
31.211657 20.68 34.68 7.14 19.27 18.71 33.51 8.22 20.02 1.18 1.98 -0.22 -0.17 1.32 2.04 -0.04 0.06 
39.206565 15.06 25.03 1.88 9.23 13.82 24.15 3.15 10.39 1.48 2.26 -0.01 0.20 1.40 2.23 0.15 0.43 
31.325908 20.81 35.03 7.41 19.72 18.64 33.44 8.25 19.95 1.18 1.98 -0.22 -0.16 1.32 2.07 -0.03 0.08 
35.211908 21.63 37.10 9.09 22.47 20.15 36.07 10.20 23.24 1.16 2.02 -0.20 -0.10 1.32 2.14 -0.01 0.14 
31.194658 20.69 34.71 7.17 19.32 18.69 33.35 8.27 20.06 1.18 1.98 -0.22 -0.17 1.31 2.10 -0.04 0.07 
31.910303 21.06 35.42 7.91 20.38 19.15 33.79 9.03 21.01 1.18 1.99 -0.22 -0.14 1.30 2.11 -0.01 0.13 
31.668321 20.69 34.88 7.17 19.46 18.64 34.39 8.28 20.18 1.18 1.98 -0.22 -0.17 1.30 2.27 -0.03 0.09 
34.907705 21.36 36.73 8.53 21.88 19.64 37.76 9.58 22.55 1.17 2.01 -0.21 -0.12 1.33 2.71 -0.02 0.12 
42.531365 22.43 39.49 10.82 25.58 21.24 38.08 11.84 26.04 1.15 2.04 -0.18 -0.03 1.33 2.23 0.02 0.24 
32.350552 18.89 31.99 6.34 17.06 17.26 30.25 7.35 17.60 1.00 1.76 -0.29 -0.27 1.21 1.88 -0.11 -0.03 
38.012693 20.98 36.74 7.80 20.91 19.67 35.30 8.88 21.65 1.26 2.07 -0.24 -0.20 1.31 2.13 -0.06 0.03 
20.710485 17.23 29.38 4.16 13.54 16.01 27.94 5.35 14.50 1.33 2.04 -0.13 -0.02 1.35 2.07 0.05 0.21 
22.638269 17.37 28.16 4.03 12.88 15.58 26.90 5.25 13.85 1.27 2.05 -0.09 0.06 1.37 2.11 0.09 0.30 
20.559089 17.21 29.29 4.14 13.45 15.97 27.87 5.33 14.40 1.33 2.03 -0.13 -0.02 1.35 2.08 0.05 0.21 
25.051098 16.39 26.56 3.42 11.57 14.72 25.24 4.61 12.46 1.27 2.06 -0.07 0.11 1.36 2.12 0.11 0.35 
20.004554 17.12 29.14 3.96 13.21 15.89 27.76 5.15 14.18 1.33 2.03 -0.13 -0.04 1.35 2.06 0.05 0.20 
18.656892 15.63 25.96 1.94 9.57 14.19 24.61 3.20 10.72 1.40 2.08 -0.11 -0.01 1.35 2.08 0.06 0.22 
18.707557 15.63 25.98 1.94 9.58 14.20 24.62 3.20 10.72 1.41 2.08 -0.11 -0.01 1.35 2.08 0.06 0.23 
26.738358 15.87 24.14 -0.22 6.12 13.13 21.98 1.10 7.47 1.61 2.26 -0.06 0.06 1.35 2.04 0.11 0.26 
18.558428 15.57 25.84 1.83 9.39 14.28 24.62 3.20 10.79 1.41 2.08 -0.11 -0.02 1.36 2.07 0.05 0.22 
23.275998 16.77 28.56 3.16 12.14 15.80 27.38 4.54 13.60 1.43 2.21 -0.10 0.01 1.40 2.15 0.07 0.25 
15.902577 15.01 24.86 1.51 8.53 13.83 23.48 2.86 9.86 1.34 1.99 -0.14 -0.07 1.33 1.99 0.03 0.16 
17.224705 15.21 23.99 1.55 8.17 13.33 22.34 2.83 9.32 1.14 1.75 -0.22 -0.20 1.23 1.84 -0.04 0.05 
20.106615 15.42 26.14 2.63 10.37 14.56 25.07 3.90 11.56 1.23 1.82 -0.22 -0.20 1.26 1.88 -0.05 0.02 
15.666832 14.52 23.98 1.34 7.96 13.47 22.82 2.70 9.32 1.33 1.99 -0.13 -0.02 1.34 2.01 0.04 0.20 
