Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
63.509690 12.94 19.76 0.49 5.25 13.07 23.10 1.61 7.56 1.24 2.15 0.08 0.36 1.54 2.25 0.19 0.46 
64.392745 13.00 19.87 0.54 5.36 13.15 23.16 1.71 7.73 1.24 2.15 0.08 0.36 1.54 2.28 0.19 0.47 
184.508165 15.42 22.34 0.43 6.14 15.35 25.15 1.54 8.45 1.64 2.32 0.34 0.69 1.90 2.58 0.46 0.79 
172.293068 16.42 30.76 11.84 22.87 17.75 33.07 12.80 24.88 0.94 1.83 0.10 0.66 1.08 1.98 0.19 0.75 
152.525988 20.31 33.08 3.69 15.04 19.84 37.02 4.96 17.66 2.12 3.07 0.18 0.54 2.19 3.66 0.30 0.66 
63.703057 12.94 19.76 0.49 5.25 13.84 24.31 2.66 9.64 1.24 2.15 0.08 0.36 1.54 2.40 0.18 0.47 
63.527992 12.94 19.76 0.49 5.25 12.98 22.88 1.38 7.20 1.24 2.15 0.08 0.36 1.55 2.24 0.17 0.44 
63.413102 12.94 19.76 0.49 5.25 13.03 22.66 1.69 7.64 1.24 2.15 0.08 0.36 1.54 2.26 0.20 0.48 
62.983953 12.94 20.80 0.49 6.11 13.03 24.02 1.69 8.52 1.24 2.15 0.08 0.35 1.54 2.49 0.20 0.48 
62.390225 12.94 20.46 0.49 5.79 13.03 23.41 1.69 8.18 1.24 2.07 0.08 0.35 1.54 2.24 0.20 0.47 
62.808802 12.94 20.64 0.49 5.94 13.03 23.64 1.69 8.33 1.24 2.13 0.08 0.35 1.54 2.25 0.20 0.47 
29.272952 2.70 1.06 -8.37 -12.50 3.34 3.85 -7.17 -10.11 0.81 1.36 -0.12 -0.02 1.10 1.60 -0.01 0.11 
110.276006 -4.41 -15.57 -17.57 -30.17 -3.79 -14.56 -16.37 -27.80 1.06 1.36 0.05 0.11 1.19 1.66 0.15 0.20 
