Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
83.456526 13.00 20.99 3.36 8.24 12.87 21.20 3.65 8.61 1.03 2.00 0.10 0.45 1.36 2.17 0.24 0.60 
84.738338 13.06 21.09 3.41 8.34 12.94 21.33 3.73 8.74 1.03 2.01 0.10 0.45 1.36 2.17 0.24 0.61 
230.758991 16.26 23.33 3.26 9.15 15.15 23.26 3.56 9.55 1.46 2.31 0.37 0.80 1.67 2.59 0.52 0.94 
233.446014 15.56 28.81 14.31 24.30 15.68 30.00 13.75 24.25 0.81 1.70 0.17 0.80 1.09 1.78 0.24 0.91 
142.842730 21.41 36.02 7.04 19.78 20.58 37.37 7.53 20.58 1.80 2.90 0.16 0.52 2.05 2.45 0.31 0.69 
83.756452 13.00 20.99 3.36 8.24 13.65 22.01 4.65 10.17 1.03 2.00 0.10 0.45 1.39 2.11 0.26 0.62 
83.498769 13.00 20.99 3.36 8.24 12.92 21.34 3.53 8.60 1.03 2.00 0.10 0.45 1.36 2.14 0.21 0.56 
83.422514 13.00 20.99 3.36 8.24 12.81 21.07 3.66 8.51 1.03 2.00 0.10 0.45 1.36 2.17 0.25 0.62 
82.998793 13.00 22.02 3.36 9.18 12.81 22.25 3.66 9.47 1.03 1.99 0.10 0.45 1.36 2.18 0.25 0.61 
82.981165 13.00 21.76 3.36 8.86 12.81 21.82 3.66 9.15 1.03 1.97 0.10 0.45 1.36 2.16 0.25 0.61 
83.631165 13.00 21.85 3.36 9.00 12.81 21.91 3.66 9.29 1.03 1.99 0.10 0.45 1.36 2.17 0.25 0.61 
24.013551 4.58 4.60 -5.77 -8.59 4.30 4.94 -5.40 -8.14 0.81 1.39 -0.10 0.05 1.13 1.65 0.05 0.20 
26.838281 -1.90 -4.61 -2.46 -7.21 -1.85 -2.77 -2.99 -7.19 0.19 0.55 -0.33 -0.23 0.50 0.45 -0.26 -0.09 
45.995220 -0.27 -3.90 -7.93 -14.96 -0.52 -3.72 -7.70 -14.72 0.42 0.90 -0.06 0.13 0.62 1.29 0.08 0.27 
60.106660 2.34 -3.35 -13.36 -20.36 0.67 -3.92 -12.77 -19.51 1.10 1.32 -0.10 -0.03 1.21 1.66 0.03 0.10 
24.399478 4.47 4.46 -5.84 -8.75 4.20 4.75 -5.48 -8.33 0.80 1.40 -0.10 0.05 1.12 1.65 0.05 0.20 
100.212166 -7.26 -19.16 -14.18 -28.26 -7.89 -18.09 -14.03 -28.08 0.13 0.80 -0.05 0.10 0.50 1.15 0.07 0.20 
25.040599 4.60 4.64 -5.75 -8.54 3.90 4.03 -5.88 -9.04 0.81 1.39 -0.10 0.05 1.11 1.63 0.04 0.19 
19.982706 9.50 14.48 -0.79 1.16 9.13 14.76 -0.40 1.63 0.98 1.59 -0.07 0.14 1.27 1.85 0.09 0.31 
20.028828 9.51 14.49 -0.79 1.17 8.93 14.32 -0.43 1.37 0.98 1.59 -0.07 0.14 1.27 1.86 0.11 0.32 
32.145025 13.54 22.58 3.32 9.39 13.07 23.03 3.72 9.88 1.12 1.93 -0.05 0.21 1.38 2.07 0.12 0.39 
19.996377 9.50 14.49 -0.79 1.17 9.08 14.63 -0.40 1.58 0.98 1.59 -0.07 0.14 1.27 1.83 0.09 0.31 
33.592228 13.81 24.13 3.62 10.90 13.34 24.61 4.01 11.39 1.13 1.94 -0.04 0.22 1.39 2.09 0.12 0.40 
32.370649 11.90 18.70 0.99 4.97 11.49 19.17 1.63 5.88 1.10 1.87 -0.03 0.22 1.38 1.94 0.14 0.40 
20.849532 13.42 23.26 4.73 11.30 12.87 22.99 4.59 10.79 1.05 1.83 -0.11 0.14 1.29 1.99 0.05 0.31 
31.198264 5.44 7.66 -2.13 -3.54 5.45 7.80 -1.96 -3.44 0.63 1.33 -0.04 0.22 0.78 1.52 0.10 0.37 
35.313395 10.67 15.08 -1.74 0.32 9.65 14.83 -1.36 0.80 1.17 1.87 0.00 0.22 1.45 1.89 0.15 0.38 
8.569359 7.06 11.13 -1.92 -1.51 7.07 11.56 -1.46 -0.90 0.84 1.36 -0.20 -0.06 1.11 1.64 -0.04 0.11 
4.146533 7.64 13.84 0.75 3.28 8.10 14.49 1.14 3.76 0.77 1.35 -0.24 -0.09 1.00 1.51 -0.08 0.10 
3.728090 8.13 14.79 1.25 4.27 8.73 15.73 1.83 5.06 0.79 1.38 -0.24 -0.08 1.02 1.54 -0.07 0.12 
2.708099 8.43 16.11 3.54 7.86 9.20 17.17 3.97 8.40 0.75 1.29 -0.27 -0.10 0.82 1.46 -0.10 0.11 
3.190003 6.90 13.11 1.79 4.52 7.62 14.19 2.27 5.16 0.68 1.18 -0.27 -0.12 0.83 1.35 -0.11 0.08 
2.723108 8.28 16.19 5.16 10.09 8.78 17.19 5.33 10.23 0.71 1.20 -0.30 -0.11 0.84 1.36 -0.15 0.08 
